Wall time,Step,Value
1637654307.8988473,0,0.5720524191856384
1637654344.6124115,1,0.6397379636764526
1637654380.3702626,2,0.6200873255729675
1637654416.8024943,3,0.652838408946991
1637654454.2082658,4,0.6877729296684265
1637654490.8366957,5,0.7554585337638855
1637654526.6217573,6,0.748908281326294
1637654563.065265,7,0.7270742654800415
1637654599.8930871,8,0.7685589790344238
1637654636.4640076,9,0.7663755416870117
1637654673.0123544,10,0.7270742654800415
1637654709.5840096,11,0.6200873255729675
1637654745.154777,12,0.8013100624084473
1637654780.3758805,13,0.8165938854217529
1637654815.5692751,14,0.7620087265968323
1637654851.1459663,15,0.8275108933448792
1637654891.3818183,16,0.8296943306922913
1637654934.4469686,17,0.7991266250610352
1637654976.0711424,18,0.8187772631645203
1637655018.8721955,19,0.8144105076789856
1637655067.3080533,20,0.7816593647003174
1637655106.239527,21,0.8340611457824707
1637655146.0393884,22,0.7903929948806763
1637655188.152194,23,0.8296943306922913
1637655243.6213582,24,0.8056768774986267
1637655297.2633605,25,0.8013100624084473
1637655352.0243337,26,0.8034934401512146
1637655407.5460851,27,0.8056768774986267
1637655464.287591,28,0.8209607005119324
1637655515.8972547,29,0.8275108933448792
1637655570.8313959,30,0.8122270703315735
1637655622.5557568,31,0.7969432473182678
1637655675.088219,32,0.8296943306922913
1637655727.0033348,33,0.8165938854217529
1637655782.318539,34,0.8209607005119324
1637655837.9644897,35,0.807860255241394
1637655890.6076543,36,0.8209607005119324
1637655935.8202605,37,0.847161591053009
1637655977.918159,38,0.8209607005119324
1637656017.6503181,39,0.7925764322280884
1637656058.2951968,40,0.8296943306922913
1637656098.6551442,41,0.7882096171379089
1637656152.8753366,42,0.7183406352996826
1637656199.3292575,43,0.8275108933448792
1637656242.127156,44,0.8580785989761353
1637656284.467044,45,0.8340611457824707
1637656328.075455,46,0.836244523525238
1637656373.6606147,47,0.836244523525238
1637656415.6276345,48,0.8100436925888062
1637656457.6566348,49,0.7816593647003174
1637656499.8610146,50,0.8449781537055969
1637656541.4276206,51,0.8406113386154175
1637656582.9200892,52,0.8209607005119324
1637656624.9194367,53,0.7903929948806763
1637656666.6463153,54,0.8493449687957764
1637656708.073542,55,0.8406113386154175
1637656749.6581633,56,0.836244523525238
1637656790.987314,57,0.7991266250610352
1637656832.0210686,58,0.8493449687957764
1637656872.449243,59,0.7663755416870117
