Wall time,Step,Value
1637672966.7246273,0,0.5698689818382263
1637672990.3591502,1,0.6200873255729675
1637673014.9154694,2,0.6375545859336853
1637673039.6670556,3,0.6746724843978882
1637673064.34758,4,0.6943231225013733
1637673089.1137605,5,0.6899563074111938
1637673113.1424687,6,0.7074235677719116
1637673137.0308702,7,0.7401746511459351
1637673161.46856,8,0.7248908281326294
1637673186.5933478,9,0.7423580884933472
1637673211.2128649,10,0.7445414662361145
1637673235.6027787,11,0.7445414662361145
1637673259.4199536,12,0.7096070051193237
1637673284.5141387,13,0.7532750964164734
1637673309.1237388,14,0.7729257345199585
1637673333.3521106,15,0.7838428020477295
1637673357.780207,16,0.7336244583129883
1637673382.2223861,17,0.7314410209655762
1637673407.0917354,18,0.7729257345199585
1637673432.3901203,19,0.7772925496101379
1637673456.932016,20,0.7532750964164734
1637673481.0624552,21,0.7641921639442444
1637673505.996577,22,0.7576419115066528
1637673530.1340368,23,0.7729257345199585
1637673554.3042192,24,0.7532750964164734
1637673579.1814947,25,0.7882096171379089
1637673603.9186647,26,0.7969432473182678
1637673628.496772,27,0.8013100624084473
1637673652.8058045,28,0.8034934401512146
1637673677.0526745,29,0.7947598099708557
1637673702.9655592,30,0.8056768774986267
1637673727.7310433,31,0.7925764322280884
1637673751.8498144,32,0.7969432473182678
1637673776.534518,33,0.8406113386154175
1637673800.5934057,34,0.8318777084350586
1637673824.9479892,35,0.8296943306922913
1637673849.2903364,36,0.8056768774986267
1637673873.4583998,37,0.8296943306922913
1637673897.479052,38,0.8100436925888062
1637673923.0631738,39,0.8144105076789856
1637673947.3979213,40,0.8231440782546997
1637673972.5557477,41,0.8275108933448792
1637673997.0965,42,0.8122270703315735
1637674021.4101388,43,0.8318777084350586
1637674046.183814,44,0.8296943306922913
1637674070.7110996,45,0.8165938854217529
1637674095.9941812,46,0.8231440782546997
1637674120.807212,47,0.8340611457824707
1637674145.2462392,48,0.8253275156021118
1637674169.7907212,49,0.8449781537055969
1637674194.3827941,50,0.8187772631645203
1637674219.1892557,51,0.8296943306922913
1637674243.6801846,52,0.8406113386154175
1637674267.8498259,53,0.8318777084350586
1637674292.4538116,54,0.836244523525238
1637674317.187854,55,0.8406113386154175
1637674341.7526422,56,0.8427947759628296
1637674365.8993275,57,0.8384279608726501
1637674390.0684214,58,0.847161591053009
1637674414.2575037,59,0.8558952212333679
