Wall time,Step,Value
1637650811.7961411,0,0.6659388542175293
1637650834.8983543,1,0.6790392994880676
1637650857.641838,2,0.6397379636764526
1637650881.4248793,3,0.6681222915649414
1637650905.871289,4,0.7096070051193237
1637650933.7234874,5,0.7620087265968323
1637650962.473811,6,0.7445414662361145
1637650995.7009141,7,0.635371208190918
1637651027.203191,8,0.6943231225013733
1637651058.633999,9,0.6593886613845825
1637651090.439538,10,0.7096070051193237
1637651122.29698,11,0.6310043931007385
1637651150.8450675,12,0.6855894923210144
1637651183.1347659,13,0.748908281326294
1637651215.0571282,14,0.748908281326294
1637651247.2630022,15,0.7227074503898621
1637651280.1973345,16,0.6986899375915527
1637651312.6963453,17,0.7161571979522705
1637651345.2749922,18,0.7379912734031677
1637651378.0300546,19,0.6506550312042236
1637651410.6660419,20,0.7816593647003174
1637651443.0705326,21,0.7445414662361145
1637651475.681857,22,0.7838428020477295
1637651508.0939033,23,0.751091718673706
1637651540.7471926,24,0.6724891066551208
1637651573.3656237,25,0.7227074503898621
1637651606.1077745,26,0.7663755416870117
1637651638.9670415,27,0.6834061145782471
1637651668.4303334,28,0.6965065598487854
1637651695.5962443,29,0.7729257345199585
1637651722.9553485,30,0.748908281326294
1637651746.4171402,31,0.6943231225013733
1637651769.5731936,32,0.6834061145782471
1637651793.281588,33,0.8013100624084473
1637651816.463155,34,0.7663755416870117
1637651840.0934448,35,0.7117903828620911
1637651863.209857,36,0.7358078360557556
1637651886.7657788,37,0.6986899375915527
1637651910.1608155,38,0.7314410209655762
1637651934.5270457,39,0.7991266250610352
1637651959.5240505,40,0.692139744758606
1637651984.6172996,41,0.6877729296684265
1637652010.215141,42,0.7729257345199585
1637652035.3305726,43,0.663755476474762
1637652062.0217288,44,0.7947598099708557
1637652089.997081,45,0.7620087265968323
1637652116.259753,46,0.7139738202095032
1637652142.2004771,47,0.6943231225013733
1637652166.6483808,48,0.7183406352996826
1637652189.9956489,49,0.7445414662361145
1637652213.476641,50,0.692139744758606
1637652237.4653475,51,0.7445414662361145
1637652260.9259984,52,0.6877729296684265
1637652283.9381542,53,0.751091718673706
1637652307.2199214,54,0.7685589790344238
1637652330.3030899,55,0.748908281326294
1637652353.5851238,56,0.751091718673706
1637652377.4965777,57,0.7358078360557556
1637652400.4143143,58,0.7052401900291443
1637652423.706739,59,0.7336244583129883
