Wall time,Step,Value
1637668948.7554774,0,2023.23095703125
1637668979.5499713,1,1834.0745849609375
1637669010.4200628,2,1716.800048828125
1637669041.0718186,3,1664.6812744140625
1637669071.6782644,4,1595.8343505859375
1637669102.3507352,5,1539.3319091796875
1637669133.0155573,6,1488.6204833984375
1637669163.9656532,7,1460.7208251953125
1637669194.6687372,8,1417.0723876953125
1637669225.3777888,9,1418.00439453125
1637669256.134255,10,1363.0360107421875
1637669287.0173965,11,1348.63232421875
1637669318.0865536,12,1348.7406005859375
1637669349.1612575,13,1300.19189453125
1637669380.1610606,14,1271.6893310546875
1637669411.2522204,15,1262.178955078125
1637669442.1675656,16,1216.982666015625
1637669473.2067163,17,1215.52685546875
1637669505.1189678,18,1199.0390625
1637669536.1167073,19,1209.77783203125
1637669567.5050066,20,1153.449951171875
1637669598.5240262,21,1157.0125732421875
1637669629.502802,22,1103.6021728515625
1637669660.8456128,23,1136.06787109375
1637669692.3573987,24,1134.859130859375
1637669723.65912,25,1086.978759765625
1637669754.8071043,26,1079.1015625
1637669786.1464655,27,1049.5386962890625
1637669817.237545,28,1053.6329345703125
1637669849.0339348,29,1062.8133544921875
1637669880.741017,30,1015.56787109375
1637669911.8698792,31,1033.739501953125
1637669943.2399175,32,1010.736572265625
1637669974.6759155,33,991.5101928710938
1637670005.8835628,34,966.4971313476562
1637670037.116123,35,960.892822265625
1637670068.0737994,36,976.6627807617188
1637670098.8026118,37,948.0188598632812
1637670129.4719803,38,946.6309814453125
1637670160.201508,39,947.31884765625
1637670190.8759632,40,931.9081420898438
1637670221.6731613,41,922.701416015625
1637670252.2900298,42,929.3612670898438
1637670283.6159167,43,910.5382080078125
1637670314.6574457,44,905.8412475585938
1637670346.2953103,45,891.1417846679688
1637670377.6529434,46,889.2616577148438
1637670409.249486,47,890.1522216796875
1637670440.4254813,48,879.6188354492188
1637670471.3676305,49,844.0676879882812
1637670502.5699189,50,857.728759765625
1637670534.869603,51,864.4615478515625
1637670566.5724409,52,874.1692504882812
1637670597.775661,53,851.9884643554688
1637670629.2096093,54,867.9503173828125
1637670660.6427648,55,852.7027587890625
1637670692.7182517,56,842.270751953125
1637670723.934282,57,845.092529296875
1637670755.517968,58,811.6898803710938
1637670786.8589928,59,831.679931640625
