Wall time,Step,Value
1637672966.7246273,0,2034.00341796875
1637672990.3591502,1,1865.5260009765625
1637673014.9154694,2,1817.186767578125
1637673039.6670556,3,1756.6099853515625
1637673064.34758,4,1693.9219970703125
1637673089.1137605,5,1663.833984375
1637673113.1424687,6,1597.4075927734375
1637673137.0308702,7,1577.2109375
1637673161.46856,8,1523.2481689453125
1637673186.5933478,9,1480.4736328125
1637673211.2128649,10,1470.205810546875
1637673235.6027787,11,1408.5047607421875
1637673259.4189558,12,1401.973388671875
1637673284.5141387,13,1375.1259765625
1637673309.1237388,14,1368.511962890625
1637673333.3521106,15,1335.426513671875
1637673357.780207,16,1294.6453857421875
1637673382.2223861,17,1273.4205322265625
1637673407.0917354,18,1287.8873291015625
1637673432.3901203,19,1216.62060546875
1637673456.932016,20,1239.1773681640625
1637673481.0624552,21,1204.7315673828125
1637673505.996577,22,1221.17578125
1637673530.1340368,23,1189.04638671875
1637673554.3042192,24,1184.59521484375
1637673579.1814947,25,1159.5828857421875
1637673603.9186647,26,1128.2628173828125
1637673628.496772,27,1137.80615234375
1637673652.8058045,28,1106.1776123046875
1637673677.0526745,29,1131.0574951171875
1637673702.9655592,30,1071.606689453125
1637673727.7310433,31,1072.4228515625
1637673751.8498144,32,1064.79443359375
1637673776.534518,33,1044.3380126953125
1637673800.5934057,34,996.3884887695312
1637673824.9479892,35,1046.3985595703125
1637673849.2903364,36,1049.39794921875
1637673873.4583998,37,1002.097900390625
1637673897.479052,38,992.3699340820312
1637673923.0631738,39,998.4917602539062
1637673947.3979213,40,957.23974609375
1637673972.5557477,41,935.280517578125
1637673997.0965,42,986.6735229492188
1637674021.4101388,43,943.734375
1637674046.183814,44,944.4298095703125
1637674070.7110996,45,951.0805053710938
1637674095.9941812,46,917.1568603515625
1637674120.807212,47,929.0462646484375
1637674145.2462392,48,911.3469848632812
1637674169.7907212,49,901.970458984375
1637674194.3827941,50,913.0670166015625
1637674219.1882577,51,897.9179077148438
1637674243.6801846,52,888.1519775390625
1637674267.8498259,53,873.437255859375
1637674292.4538116,54,891.55859375
1637674317.187854,55,892.5451049804688
1637674341.7526422,56,843.22119140625
1637674365.8983612,57,878.3229370117188
1637674390.0684214,58,846.9173583984375
1637674414.2575037,59,844.5808715820312
