Wall time,Step,Value
1637650811.7961411,0,1829.74462890625
1637650834.8983543,1,1575.48828125
1637650857.641838,2,1414.744140625
1637650881.4248793,3,1347.052001953125
1637650905.871289,4,1280.1455078125
1637650933.7234874,5,1239.01171875
1637650962.473811,6,1225.703125
1637650995.7009141,7,1208.05712890625
1637651027.203191,8,1194.5301513671875
1637651058.633999,9,1156.6719970703125
1637651090.439538,10,1118.6717529296875
1637651122.29698,11,1102.799072265625
1637651150.8450675,12,1113.064453125
1637651183.1347659,13,1078.391845703125
1637651215.0571282,14,1065.784912109375
1637651247.2630022,15,1073.2724609375
1637651280.1973345,16,1062.4583740234375
1637651312.6963453,17,1022.9269409179688
1637651345.2749922,18,1041.0272216796875
1637651378.0300546,19,1016.695556640625
1637651410.6660419,20,1053.7950439453125
1637651443.0705326,21,1002.3882446289062
1637651475.681857,22,1014.9485473632812
1637651508.0939033,23,1000.9993896484375
1637651540.7471926,24,974.1574096679688
1637651573.3656237,25,1023.3514404296875
1637651606.1077745,26,972.572998046875
1637651638.9670415,27,1004.7123413085938
1637651668.4303334,28,987.3683471679688
1637651695.5962443,29,979.1432495117188
1637651722.9553485,30,946.1995239257812
1637651746.4171402,31,1035.3267822265625
1637651769.5731936,32,944.0161743164062
1637651793.281588,33,972.4901733398438
1637651816.463155,34,988.4299926757812
1637651840.0934448,35,907.7616577148438
1637651863.2088594,36,952.292236328125
1637651886.7657788,37,947.0844116210938
1637651910.1608155,38,912.386474609375
1637651934.5270457,39,993.1183471679688
1637651959.5240505,40,935.6317749023438
1637651984.6172996,41,958.5248413085938
1637652010.215141,42,959.0827026367188
1637652035.3305726,43,958.2789306640625
1637652062.0217288,44,929.9723510742188
1637652089.997081,45,955.6060180664062
1637652116.259753,46,914.1847534179688
1637652142.2004771,47,921.278564453125
1637652166.6483808,48,898.1049194335938
1637652189.9956489,49,955.1104125976562
1637652213.476641,50,924.5309448242188
1637652237.4653475,51,905.8048706054688
1637652260.9259984,52,916.4371337890625
1637652283.9381542,53,895.6348266601562
1637652307.2199214,54,961.1483764648438
1637652330.3030899,55,921.4378051757812
1637652353.5851238,56,972.6392822265625
1637652377.4965777,57,926.2127685546875
1637652400.4143143,58,890.9019775390625
1637652423.706739,59,923.1143188476562
