Wall time,Step,Value
1637658387.4154844,0,2083.6767578125
1637658470.3234258,1,1664.9573974609375
1637658552.649084,2,1564.5625
1637658635.6530955,3,1508.535400390625
1637658717.84193,4,1420.6361083984375
1637658799.9686503,5,1368.7357177734375
1637658882.6376855,6,1341.229736328125
1637658965.74303,7,1266.36083984375
1637659050.1469965,8,1248.30126953125
1637659132.8747303,9,1182.9442138671875
1637659212.8124106,10,1168.003173828125
1637659292.2969546,11,1159.8509521484375
1637659370.8075979,12,1122.375732421875
1637659449.3617346,13,1090.169189453125
1637659527.8627915,14,1074.9464111328125
1637659607.1320357,15,1062.08203125
1637659685.6917295,16,1016.428955078125
1637659784.633438,17,1034.606201171875
1637659862.9622486,18,989.9692993164062
1637659941.2579398,19,992.0559692382812
1637660019.5592494,20,985.3020629882812
1637660097.8521583,21,959.2653198242188
1637660176.1131537,22,952.75341796875
1637660254.361835,23,954.1423950195312
1637660332.570491,24,925.8080444335938
1637661897.6131418,25,903.4574584960938
1637661981.417593,26,900.5494995117188
1637662064.4426003,27,908.886962890625
1637662151.93349,28,894.708984375
1637662239.2321277,29,893.511962890625
1637662319.8099637,30,874.4677734375
1637662409.7497115,31,853.3170776367188
1637662536.8514903,32,872.7915649414062
1637662674.9362628,33,821.59521484375
1637662787.1706324,34,836.661376953125
1637662893.8066869,35,853.1112670898438
1637663067.239366,36,809.64208984375
1637663226.816768,37,810.477294921875
1637663396.2459307,38,828.2728881835938
1637663557.8320677,39,820.5065307617188
1637663745.2806292,40,804.5310668945312
1637663832.9779425,41,848.306884765625
1637663917.4779615,42,801.9849853515625
1637664001.8214748,43,816.887939453125
1637664092.6556368,44,806.7188110351562
1637664178.826368,45,803.7509155273438
1637664263.78857,46,787.3062744140625
1637664348.551955,47,786.8406982421875
1637664435.6941004,48,801.5640869140625
1637664527.823862,49,787.966796875
1637664615.4030745,50,770.5245361328125
1637664707.0960565,51,725.5556030273438
1637664795.4196901,52,773.2808837890625
1637664884.812526,53,779.0042724609375
1637664975.1821404,54,802.4548950195312
1637665058.239755,55,744.4032592773438
1637665146.607694,56,760.9766845703125
1637665244.7447855,57,707.6155395507812
1637665350.766071,58,745.1954956054688
1637665457.389423,59,765.46044921875
